order_id,order_date,region,product_category,units_sold,unit_price,customer_rating
ORD-0001,2024-02-02,North,Sports,6,278.79,4.63
ORD-0002,2024-10-10,South,Electronics,3,328.78,3.8
ORD-0003,2024-08-27,South,Home,4,485.06,2.06
ORD-0004,2024-06-09,North,Electronics,44,492.37,4.88
ORD-0005,2024-06-07,South,Home,43,147.67,4.12
ORD-0006,2024-11-10,East,Home,42,368.21,3.87
ORD-0007,2024-02-01,North,Electronics,3,376.24,2.8
ORD-0008,2024-09-12,South,Home,4,176.51,2.09
ORD-0009,2024-03-14,South,Sports,15,66.32,1.39
ORD-0010,2024-02-04,East,Sports,29,25.27,4.61
ORD-0011,2024-07-11,South,Electronics,17,389.78,2.82
ORD-0012,2024-12-23,East,Electronics,25,247.4,1.81
ORD-0013,2024-09-26,South,Electronics,9,492.84,2.22
ORD-0014,2024-10-05,South,Clothing,37,235.16,3.32
ORD-0015,2024-09-19,South,Electronics,16,489.07,1.71
ORD-0016,2024-10-14,North,Sports,4,208.73,4.43
ORD-0017,2024-07-06,East,Sports,38,397.87,4.03
ORD-0018,2024-02-16,North,Sports,46,46.99,3.88
ORD-0019,2024-11-03,South,Electronics,1,279.95,2.73
ORD-0020,2024-06-13,West,Electronics,22,402.02,3.51
ORD-0021,2024-07-02,West,Sports,42,462.73,3.34
ORD-0022,2024-05-15,East,Clothing,36,412.18,3.6
ORD-0023,2024-03-07,West,Home,43,23.3,1.34
ORD-0024,2024-12-05,West,Sports,21,189.49,2.66
ORD-0025,2024-10-13,South,Electronics,19,29.11,1.17
ORD-0026,2024-08-23,West,Electronics,36,59.09,2.98
ORD-0027,2024-05-27,South,Electronics,8,339.28,
ORD-0028,2024-10-28,South,Electronics,12,358.06,1.58
ORD-0029,2024-07-18,East,Electronics,31,387.99,1.41
ORD-0030,2024-06-11,West,Sports,34,433.4,3.35
ORD-0031,2024-06-13,West,Home,6,371.02,1.68
ORD-0032,2024-03-24,South,Sports,26,401.43,4.7
ORD-0033,2024-02-03,East,Sports,19,29.24,3.32
ORD-0034,2024-07-21,North,Sports,26,121.09,2.39
ORD-0035,2024-11-20,West,Electronics,48,312.84,3.36
ORD-0036,2024-01-24,East,Clothing,4,429.77,1.09
ORD-0037,2024-11-10,East,Sports,50,7.23,4.83
ORD-0038,2024-10-29,West,Electronics,23,259.74,2.93
ORD-0039,2024-04-11,East,Electronics,39,340.26,4.13
ORD-0040,2024-08-19,North,Home,22,19.66,1.33
ORD-0041,2024-03-01,South,Sports,16,203.67,2.95
ORD-0042,2024-10-04,North,Sports,39,448.34,2.96
ORD-0043,2024-09-13,East,Sports,35,337.45,4.75
ORD-0044,2024-05-09,North,Electronics,8,122.64,3.29
ORD-0045,2024-01-25,North,Sports,36,427.13,2.89
ORD-0046,2024-12-21,East,Sports,38,177.28,2.07
ORD-0047,2024-06-12,East,Home,20,427.41,2.33
ORD-0048,2024-11-22,East,Sports,47,152.98,3.08
ORD-0049,2024-09-05,West,Sports,33,297.21,2.76
ORD-0050,2024-10-11,West,Clothing,17,201.49,1.09
ORD-0051,2024-10-05,North,Electronics,1,141.04,4.31
ORD-0052,2024-03-12,West,Clothing,34,443.85,4.58
ORD-0053,2024-05-13,East,Electronics,11,97.86,1.56
ORD-0054,2024-06-19,East,Electronics,38,46.98,3.22
ORD-0055,2024-07-01,North,Electronics,27,174.25,1.43
ORD-0056,2024-01-17,East,Home,24,360.23,3.69
ORD-0057,2024-07-19,East,Home,9,404.68,2.12
ORD-0058,2024-02-26,East,Home,36,499.38,3.64
ORD-0059,2024-09-29,North,Home,9,151.7,3.91
ORD-0060,2024-09-06,East,Home,21,206.93,4.07
ORD-0061,2024-12-03,West,Home,42,72.73,1.43
ORD-0062,2024-09-29,East,Electronics,47,289.56,4.66
ORD-0063,2024-05-14,North,Sports,50,498.8,1.92
ORD-0064,2024-12-20,West,Clothing,48,351.94,
ORD-0065,2024-05-30,West,Electronics,28,299.63,3.22
ORD-0066,2024-04-29,North,Sports,11,199.22,2.48
ORD-0067,2024-11-27,West,Home,42,458.07,4.32
ORD-0068,2024-05-15,South,Electronics,41,250.97,4.23
ORD-0069,2024-01-28,East,Electronics,50,71.51,2.27
ORD-0070,2024-06-20,South,Electronics,33,185.86,4.81
ORD-0071,2024-10-18,West,Clothing,8,38.25,2.16
ORD-0072,2024-03-10,West,Electronics,26,104.98,3.06
ORD-0073,2024-06-18,West,Home,23,13.75,2.02
ORD-0074,2024-02-17,West,Home,43,229.37,4.74
ORD-0075,2024-09-08,West,Sports,20,319.1,1.66
ORD-0076,2024-06-23,North,Home,17,174.93,1.18
ORD-0077,2024-04-30,South,Home,5,213.09,2.74
ORD-0078,2024-03-24,East,Home,42,479.81,4.97
ORD-0079,2024-07-25,East,Electronics,38,377.22,4.57
ORD-0080,2024-09-02,North,Electronics,3,272.72,3.99
ORD-0081,2024-12-10,North,Home,22,145.85,4.56
ORD-0082,2024-06-08,East,Electronics,24,449.01,4.57
ORD-0083,2024-02-28,East,Electronics,24,121.37,3.08
ORD-0084,2024-10-31,North,Electronics,46,166.04,2.26
ORD-0085,2024-08-18,North,Sports,8,454.99,4.09
ORD-0086,2024-09-13,North,Clothing,16,267.12,3.65
ORD-0087,2024-02-05,East,Home,10,372.45,2.49
ORD-0088,2024-04-24,North,Clothing,13,297.42,1.38
ORD-0089,2024-10-08,East,Electronics,46,328.45,3.99
ORD-0090,2024-10-31,South,Clothing,48,153.19,2.05
ORD-0091,2024-06-08,South,Electronics,3,124.48,4.75
ORD-0092,2024-10-21,East,Sports,32,164.63,1.96
ORD-0093,2024-11-04,East,Electronics,12,81.94,1.49
ORD-0094,2024-05-21,East,Clothing,10,437.79,4.32
ORD-0095,2024-11-24,West,Sports,15,145.21,1.61
ORD-0096,2024-04-15,West,Home,10,282.94,1.72
ORD-0097,2024-03-28,West,Clothing,25,397.03,3.4
ORD-0098,2024-09-06,East,Home,50,392.99,4.5
ORD-0099,2024-08-21,South,Sports,30,222.0,1.79
ORD-0100,2024-02-21,North,Clothing,37,240.75,2.24
ORD-0101,2024-10-31,East,Home,25,497.38,4.11
ORD-0102,2024-03-14,North,Sports,1,338.93,
ORD-0103,2024-10-21,West,Home,5,408.25,3.0
ORD-0104,2024-01-03,West,Clothing,14,451.76,1.58
ORD-0105,2024-10-18,North,Electronics,13,394.86,1.06
ORD-0106,2024-10-15,West,Electronics,43,96.66,
ORD-0107,2024-10-12,North,Sports,43,283.27,1.53
ORD-0108,2024-08-31,East,Home,43,55.44,3.71
ORD-0109,2024-06-21,North,Clothing,32,328.2,1.49
ORD-0110,2024-09-15,South,Clothing,28,477.9,3.03
ORD-0111,2024-04-11,East,Home,33,258.8,3.78
ORD-0112,2024-10-12,East,Home,21,219.32,3.32
ORD-0113,2024-07-22,South,Home,34,22.74,1.8
ORD-0114,2024-06-16,West,Clothing,40,480.09,4.22
ORD-0115,2024-07-04,West,Home,39,55.99,3.86
ORD-0116,2024-07-27,North,Clothing,31,25.33,3.96
ORD-0117,2024-01-14,East,Sports,3,126.8,1.52
ORD-0118,2024-02-21,East,Electronics,37,37.44,
ORD-0119,2024-03-30,South,Electronics,19,230.28,4.71
ORD-0120,2024-02-11,East,Clothing,38,260.46,2.59
ORD-0121,2024-06-09,West,Home,27,159.72,2.2
ORD-0122,2024-09-01,West,Home,45,30.23,2.95
ORD-0123,2024-08-27,West,Clothing,17,60.24,3.65
ORD-0124,2024-06-21,East,Sports,47,195.33,4.82
ORD-0125,2024-11-08,South,Clothing,43,34.96,2.15
ORD-0126,2024-07-25,West,Electronics,17,350.6,4.7
ORD-0127,2024-01-29,South,Electronics,25,107.48,1.1
ORD-0128,2024-10-06,East,Sports,27,154.53,3.22
ORD-0129,2024-07-29,South,Electronics,39,200.09,3.54
ORD-0130,2024-08-20,South,Sports,35,211.22,1.42
ORD-0131,2024-07-25,North,Clothing,43,5.82,1.56
ORD-0132,2024-07-21,West,Electronics,19,60.47,2.68
ORD-0133,2024-02-03,North,Clothing,26,432.07,4.86
ORD-0134,2024-07-23,North,Home,22,5.61,3.38
ORD-0135,2024-10-17,West,Clothing,46,256.54,4.73
ORD-0136,2024-04-21,East,Sports,16,247.3,4.22
ORD-0137,2024-08-08,South,Home,30,169.88,2.87
ORD-0138,2024-01-12,East,Clothing,7,218.51,4.14
ORD-0139,2024-05-07,South,Home,43,391.39,1.07
ORD-0140,2024-06-08,North,Sports,20,421.4,1.44
ORD-0141,2024-12-25,East,Clothing,18,133.87,4.32
ORD-0142,2024-03-19,North,Electronics,30,164.63,4.19
ORD-0143,2024-04-11,East,Clothing,25,125.03,
ORD-0144,2024-05-29,West,Sports,43,242.53,3.12
ORD-0145,2024-12-29,West,Electronics,27,343.21,3.42
ORD-0146,2024-11-08,South,Sports,26,117.99,4.47
ORD-0147,2024-01-13,West,Home,6,168.71,3.41
ORD-0148,2024-03-26,East,Home,2,465.54,2.65
ORD-0149,2024-10-27,South,Clothing,20,29.04,2.5
ORD-0150,2024-01-22,North,Sports,50,233.08,
ORD-0151,2024-11-09,South,Electronics,46,357.22,3.61
ORD-0152,2024-04-12,East,Clothing,32,79.47,4.47
ORD-0153,2024-12-01,West,Clothing,32,28.45,2.82
ORD-0154,2024-04-17,North,Clothing,20,73.41,1.99
ORD-0155,2024-06-07,East,Clothing,9,459.82,1.95
ORD-0156,2024-08-30,West,Electronics,1,9.58,3.98
ORD-0157,2024-02-16,West,Electronics,17,98.22,4.27
ORD-0158,2024-07-22,South,Electronics,16,20.49,1.42
ORD-0159,2024-07-03,North,Home,10,59.76,1.27
ORD-0160,2024-10-13,South,Clothing,13,311.97,3.38
ORD-0161,2024-12-30,West,Home,2,124.61,1.58
ORD-0162,2024-08-31,West,Home,31,286.76,
ORD-0163,2024-05-29,East,Home,47,297.15,2.24
ORD-0164,2024-05-28,North,Home,35,425.47,1.58
ORD-0165,2024-06-01,North,Home,23,7.35,4.68
ORD-0166,2024-10-24,South,Home,22,427.42,1.66
ORD-0167,2024-04-27,East,Home,16,311.46,2.14
ORD-0168,2024-03-02,North,Home,8,85.56,1.61
ORD-0169,2024-05-02,East,Clothing,30,387.6,1.46
ORD-0170,2024-01-09,East,Electronics,29,428.47,1.08
ORD-0171,2024-02-08,North,Sports,1,130.86,1.22
ORD-0172,2024-02-02,North,Clothing,21,459.8,
ORD-0173,2024-10-09,South,Home,14,229.96,1.21
ORD-0174,2024-09-21,East,Electronics,9,303.7,3.36
ORD-0175,2024-09-12,West,Clothing,36,492.4,3.72
ORD-0176,2024-06-18,South,Home,27,183.96,2.57
ORD-0177,2024-09-19,South,Home,32,407.51,2.27
ORD-0178,2024-02-29,West,Home,36,162.61,3.02
ORD-0179,2024-11-25,South,Clothing,50,400.61,4.5
ORD-0180,2024-07-02,South,Sports,41,302.36,4.4
ORD-0181,2024-12-09,South,Home,32,112.1,1.17
ORD-0182,2024-02-25,North,Sports,44,209.94,1.73
ORD-0183,2024-07-01,South,Home,24,162.23,1.95
ORD-0184,2024-09-11,East,Home,50,43.66,2.0
ORD-0185,2024-06-30,West,Sports,39,19.77,3.28
ORD-0186,2024-06-12,East,Electronics,33,176.51,2.67
ORD-0187,2024-03-01,West,Sports,46,14.42,1.2
ORD-0188,2024-05-19,East,Sports,26,86.92,2.49
ORD-0189,2024-03-28,North,Home,37,363.97,3.1
ORD-0190,2024-04-20,South,Home,15,355.51,1.41
ORD-0191,2024-09-07,West,Home,49,370.6,4.33
ORD-0192,2024-08-18,North,Clothing,32,161.99,1.21
ORD-0193,2024-08-10,West,Sports,40,445.56,
ORD-0194,2024-05-12,East,Electronics,24,298.95,1.4
ORD-0195,2024-12-17,South,Clothing,44,67.38,4.37
ORD-0196,2024-02-02,West,Home,4,76.14,4.61
ORD-0197,2024-05-05,West,Sports,6,348.08,4.92
ORD-0198,2024-02-13,North,Clothing,26,90.61,4.21
ORD-0199,2024-05-04,North,Clothing,37,256.11,4.12
ORD-0200,2024-12-18,East,Electronics,41,495.93,3.57
